ds,escenario_neutro,escenario_positivo,escenario_negativo
2024-03-01,1.0742705946742173,1.1279841244079283,1.0205570649405062
2024-03-04,1.0745827460530042,1.1283118833556545,1.020853608750354
2024-03-05,1.0746278187992788,1.1283592097392428,1.020896427859315
2024-03-06,1.0750943627964908,1.1288490809363154,1.0213396446566663
2024-03-07,1.075303361558495,1.1290685296364198,1.0215381934805703
2024-03-08,1.0756888905940991,1.1294733351238042,1.021904446064394
2024-03-11,1.0764136438837486,1.1302343260779362,1.022592961689561
2024-03-12,1.076551172224222,1.1303787308354332,1.022723613613011
2024-03-13,1.0770849299707688,1.1309391764693073,1.0232306834722302
2024-03-14,1.0773351509535238,1.1312019085012002,1.0234683934058475
2024-03-15,1.0777357985361626,1.131622588462971,1.0238490086093543
2024-03-18,1.0783580464281624,1.1322759487495706,1.024440144106754
2024-03-19,1.0784182849577428,1.13233919920563,1.0244973707098557
2024-03-20,1.0788577930922594,1.1328006827468724,1.0249149034376464
2024-03-21,1.0790003655882743,1.132950383867688,1.0250503473088606
2024-03-22,1.0792839566954373,1.1332481545302093,1.0253197588606653
2024-03-25,1.0795429052613452,1.1335200505244125,1.025565759998278
2024-03-26,1.079493463535319,1.1334681367120851,1.025518790358553
2024-03-27,1.0798366536375674,1.1338284863194459,1.025844820955689
2024-03-28,1.079900550062655,1.133895577565788,1.0259055225595222
2024-04-01,1.080374562245589,1.1343932903578684,1.0263558341333094
2024-04-02,1.0803814935288762,1.1344005682053202,1.0263624188524323
2024-04-03,1.0808125518435148,1.1348531794356906,1.026771924251339
2024-04-04,1.0809953334698763,1.1350451001433701,1.0269455667963825
2024-04-05,1.081370285246249,1.1354387995085615,1.0273017709839365
2024-04-08,1.0822132403978715,1.1363239024177652,1.0281025783779778
2024-04-09,1.0824550393753862,1.1365777913441555,1.028332287406617
2024-04-10,1.0831304744079615,1.1372869981283595,1.0289739506875635
2024-04-11,1.0835609883142585,1.1377390377299714,1.0293829388985456
2024-04-12,1.0841804236116521,1.1383894447922347,1.0299714024310695
2024-04-15,1.085667687771829,1.1399510721604205,1.0313843033832375
2024-04-16,1.0860712718050158,1.1403748353952667,1.031767708214765
2024-04-17,1.0868709354757444,1.1412144822495316,1.0325273887019573
2024-04-18,1.0873821851571597,1.1417512944150177,1.0330130758993017
2024-04-19,1.0880336244854079,1.1424353057096783,1.0336319432611374
2024-04-22,1.0892856153966204,1.1437498961664514,1.0348213346267894
2024-04-23,1.0894927238964032,1.1439673600912235,1.0350180877015829
2024-04-24,1.0900360658406976,1.1445378691327326,1.0355342625486625
2024-04-25,1.0902325701582136,1.1447441986661244,1.0357209416503028
2024-04-26,1.090513567794861,1.1450392461846042,1.0359878894051178
2024-04-29,1.090366287893734,1.1448846022884207,1.0358479734990471
2024-04-30,1.0900322420900863,1.1445338541945906,1.035530629985582
2024-05-01,1.0900102396305287,1.1445107516120552,1.0355097276490022
2024-05-02,1.0896263504966643,1.1441076680214977,1.035145032971831
2024-05-03,1.089321633634917,1.143787715316663,1.034855551953171
2024-05-06,1.0874872402158087,1.141861602226599,1.0331128782050183
2024-05-07,1.0866482438775402,1.1409806560714173,1.0323158316836631
2024-05-08,1.0861663348945583,1.1404746516392863,1.0318580181498302
2024-05-09,1.085376516823356,1.1396453426645239,1.0311076909821881
2024-05-10,1.0847279248001225,1.1389643210401286,1.0304915285601164
2024-05-13,1.0822984888009894,1.136413413241039,1.0281835643609398
2024-05-14,1.0814215856681384,1.1354926649515453,1.0273505063847315
2024-05-15,1.080985813812685,1.1350351045033193,1.0269365231220509
2024-05-16,1.0803261470698824,1.1343424544233767,1.0263098397163881
2024-05-17,1.0798901056005645,1.133884610880593,1.0258956003205362
2024-05-20,1.078553410713867,1.1324810812495605,1.0246257401781735
2024-05-21,1.0781721415261507,1.1320807486024582,1.0242635344498432
2024-05-22,1.07828433646953,1.1321985532930066,1.0243701196460535
2024-05-23,1.0782153450793197,1.1321261123332858,1.0243045778253537
2024-05-24,1.0784022451211634,1.1323223573772216,1.0244821328651053
2024-05-28,1.0792730696421684,1.1332367231242768,1.02530941616006
2024-05-29,1.0799992509322052,1.1339992134788155,1.0259992883855948
2024-05-30,1.0805088225218853,1.1345342636479796,1.026483381395791
2024-05-31,1.0812288291064494,1.1352902705617718,1.027167387651127
2024-06-03,1.0830832364267307,1.1372373982480672,1.028929074605394
2024-06-04,1.0836123024770496,1.1377929176009023,1.029431687353197
2024-06-05,1.0845313434901742,1.138757910664683,1.0303047763156654
2024-06-06,1.0851524954113552,1.139410120181923,1.0308948706407874
2024-06-07,1.0859018941790666,1.14019698888802,1.0316067994701132
2024-06-10,1.0873653283763476,1.141733594795165,1.0329970619575302
2024-06-11,1.0876163444663307,1.1419971616896474,1.033235527243014
2024-06-12,1.0881928203622613,1.1426024613803745,1.033783179344148
2024-06-13,1.0884142513869597,1.1428349639563078,1.0339935388176116
2024-06-14,1.0887150852738825,1.1431508395375767,1.0342793310101883
2024-06-17,1.0886333709543718,1.1430650395020905,1.0342017024066532
2024-06-18,1.0883361954741118,1.1427530052478174,1.033919385700406
2024-06-20,1.0880491567693142,1.14245161460778,1.0336466989308484
2024-06-21,1.0878328966236859,1.1422245414548702,1.0334412517925016
